City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kisangani,CD,82.76,broken clouds,0.5167,25.2,Grand Ramela Hotel
9,Rikitea,PF,77.77,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Meulaboh,ID,78.6,overcast clouds,4.1363,96.1285,Kost Pria
26,Sao Filipe,CV,75.65,clear sky,14.8961,-24.4956,Hotel Xaguate
27,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
35,Busselton,AU,76.08,clear sky,-33.65,115.3333,Observatory Guest House
36,Hermanus,ZA,77.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Alto Araguaia,BR,81.54,light rain,-17.3147,-53.2153,Araguaia Palace Hotel
41,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
49,Ponnani,IN,79.92,broken clouds,10.767,75.9252,Rouba Residency
52,Puerto Ayora,EC,76.96,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Lorengau,PG,80.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Long,TH,76.93,few clouds,18.0761,99.8326,Nopphakoe Homestay
75,Arraial Do Cabo,BR,84.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
81,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
88,Faanui,PF,80.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
92,Atuona,PF,78.22,few clouds,-9.8,-139.0333,Villa Enata
96,Kavieng,PG,82.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
100,Isangel,VU,78.58,light rain,-19.55,169.2667,Tanna Lodge
102,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
111,Cidreira,BR,78.13,overcast clouds,-30.1811,-50.2056,Hotel Castelo
114,Butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
116,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
120,Diamantino,BR,84.42,overcast clouds,-14.4086,-56.4461,Hotel Delta
122,Chuy,UY,79.72,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
124,Manavalakurichi,IN,84.29,clear sky,8.1333,77.3,Jebinrio home
125,Kirakira,SB,79.43,overcast clouds,-10.4544,161.9205,SanBiz Lodge
133,Cuamba,MZ,79.18,light rain,-14.8031,36.5372,Hotel Vision
136,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
138,Samarai,PG,81.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
145,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
149,Palembang,ID,77.09,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
150,Harper,LR,84.67,broken clouds,4.375,-7.7169,Screensaver
157,Namibe,AO,77.77,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
158,Araouane,ML,82.33,clear sky,18.9048,-3.5265,
159,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Mogadishu,SO,82.27,clear sky,2.0371,45.3438,Hotel Juba
172,Banda Aceh,ID,80.06,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
176,Rajampet,IN,77.77,scattered clouds,14.1833,79.1667,Maruthi Prasanna
179,Trincomalee,LK,79.45,few clouds,8.5711,81.2335,Welcombe Hotel
180,Hithadhoo,MV,82.33,scattered clouds,-0.6,73.0833,Scoop Guest House
182,Gao,ML,81.84,clear sky,16.6362,1.637,
183,Sarangani,PH,80.02,light rain,5.4033,125.4636,Ballistic Islet
184,Kuala Terengganu,MY,82.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
186,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
187,Ugoofaaru,MV,81.7,broken clouds,5.6667,73.0,Ungoofaaru Inn
188,Sechura,PE,76.62,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
192,Taoudenni,ML,82.99,scattered clouds,22.6783,-3.9836,
193,Ilhabela,BR,81.05,moderate rain,-23.7781,-45.3581,Ilha Flat Hotel
194,Tres Arroyos,AR,80.04,moderate rain,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
195,Tessalit,ML,78.93,clear sky,20.1986,1.0114,
203,Port Keats,AU,80.58,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
207,Kalmunai,LK,76.89,clear sky,7.4167,81.8167,VS Villa
215,Mar Del Plata,AR,75.22,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
216,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
235,Takoradi,GH,84.97,few clouds,4.8845,-1.7554,Raybow International Hotel
245,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
248,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
250,Nagua,DO,77.45,scattered clouds,19.3832,-69.8474,Hotel Cambri
258,Maroantsetra,MG,81.63,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
264,Mabay,PH,77.04,moderate rain,6.0577,124.4666,Bautista Lodging House
267,Eyl,SO,77.0,few clouds,7.9803,49.8164,Amiin Hotel
268,Trairi,BR,82.0,overcast clouds,-3.2778,-39.2689,janelas do mar
272,Masunga,BW,79.2,scattered clouds,-20.6246,27.4488,
275,De Aar,ZA,80.8,broken clouds,-30.6497,24.0123,Nyibiba Guesthouse
279,Biak,ID,76.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
