City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Descritption,Date
0,Guerrero Negro,27.9769,-114.0611,51.03,41,0,2.46,MX,clear sky,2022-02-04 14:30:49
1,Albany,42.6001,-73.9662,28.27,86,100,3.0,US,light snow,2022-02-04 14:35:04
2,Carnot,4.9409,15.8665,94.73,12,100,5.91,CF,overcast clouds,2022-02-04 14:35:25
3,Kisangani,0.5167,25.2,82.76,69,75,4.61,CD,broken clouds,2022-02-04 14:35:26
4,Umkomaas,-30.2067,30.7978,72.68,87,100,17.11,ZA,light rain,2022-02-04 14:35:26
5,Hilo,19.7297,-155.09,67.12,75,0,5.75,US,clear sky,2022-02-04 14:35:26
6,Ushuaia,-54.8,-68.3,47.86,49,20,10.36,AR,few clouds,2022-02-04 14:35:27
7,Qaanaaq,77.484,-69.3632,-7.49,60,100,8.86,GL,overcast clouds,2022-02-04 14:35:27
8,Dikson,73.5069,80.5464,-2.13,90,100,5.17,RU,overcast clouds,2022-02-04 14:35:27
9,Rikitea,-23.1203,-134.9692,77.77,73,100,12.08,PF,overcast clouds,2022-02-04 14:35:28
10,Khatanga,71.9667,102.5,-33.88,100,99,3.62,RU,overcast clouds,2022-02-04 14:35:28
11,San Quintin,30.4833,-115.95,52.27,33,5,4.79,MX,clear sky,2022-02-04 14:35:28
12,Meulaboh,4.1363,96.1285,78.6,83,100,3.69,ID,overcast clouds,2022-02-04 14:35:29
13,Gamboma,-1.8764,15.8644,88.11,47,99,3.15,CG,overcast clouds,2022-02-04 14:35:29
14,Mataura,-46.1927,168.8643,49.48,99,100,1.79,NZ,overcast clouds,2022-02-04 14:35:29
15,Port Alfred,-33.5906,26.891,69.42,75,100,10.47,ZA,light rain,2022-02-04 14:35:29
16,Sobolevo,54.4299,31.8996,8.24,98,74,3.62,RU,broken clouds,2022-02-04 14:39:26
17,Polyarnyy,69.1989,33.4478,-7.13,95,78,11.01,RU,broken clouds,2022-02-04 14:39:26
18,Iqaluit,63.7506,-68.5145,-13.27,58,100,13.8,CA,light snow,2022-02-04 14:39:26
19,Jamestown,42.097,-79.2353,19.09,63,100,5.01,US,overcast clouds,2022-02-04 14:39:27
20,Putnok,48.3,20.4333,43.39,69,50,2.91,HU,scattered clouds,2022-02-04 14:39:27
21,Saint George,37.1041,-113.5841,32.34,51,0,1.99,US,clear sky,2022-02-04 14:39:27
22,Cherskiy,68.75,161.3,-34.46,99,8,3.67,RU,clear sky,2022-02-04 14:39:28
23,Kapaa,22.0752,-159.319,64.38,94,0,5.75,US,clear sky,2022-02-04 14:39:28
24,Yumen,40.2833,97.2,18.19,40,100,13.65,CN,overcast clouds,2022-02-04 14:39:28
25,Port Hardy,50.6996,-127.4199,46.76,93,100,17.27,CA,light intensity shower rain,2022-02-04 14:39:28
26,Sao Filipe,14.8961,-24.4956,75.65,65,0,8.7,CV,clear sky,2022-02-04 14:39:29
27,Saint-Philippe,-21.3585,55.7679,81.99,87,100,27.98,RE,moderate rain,2022-02-04 14:39:29
28,Biskamzha,53.4497,89.5272,3.31,98,55,1.39,RU,broken clouds,2022-02-04 14:39:29
29,Saint-Felicien,48.6501,-72.4491,-14.12,64,40,12.66,CA,scattered clouds,2022-02-04 14:39:30
30,Hambantota,6.1241,81.1185,80.94,89,20,2.3,LK,few clouds,2022-02-04 14:39:11
31,Yellowknife,62.456,-114.3525,-37.71,78,0,2.3,CA,mist,2022-02-04 14:35:01
32,Castro,-24.7911,-50.0119,66.18,97,100,7.61,BR,overcast clouds,2022-02-04 14:39:30
33,Kaitangata,-46.2817,169.8464,47.62,93,100,5.93,NZ,overcast clouds,2022-02-04 14:39:31
34,Kedrovyy,56.1667,91.8167,3.87,93,98,5.46,RU,overcast clouds,2022-02-04 14:39:31
35,Busselton,-33.65,115.3333,76.08,75,0,7.4,AU,clear sky,2022-02-04 14:38:44
36,Hermanus,-34.4187,19.2345,77.9,52,7,24.09,ZA,clear sky,2022-02-04 14:39:31
37,Faya,18.3851,42.4509,68.11,70,23,9.89,SA,few clouds,2022-02-04 14:39:31
38,Kodiak,57.79,-152.4072,33.31,80,0,3.44,US,clear sky,2022-02-04 14:37:27
39,Roma,43.2128,-75.4557,22.66,86,100,9.22,US,overcast clouds,2022-02-04 14:39:32
40,Alto Araguaia,-17.3147,-53.2153,81.54,67,81,6.62,BR,light rain,2022-02-04 14:39:32
41,Vaini,-21.2,-175.2,75.36,100,100,6.91,TO,light rain,2022-02-04 14:37:38
42,Honningsvag,70.9821,25.9704,15.55,73,75,21.85,NO,broken clouds,2022-02-04 14:39:32
43,Beringovskiy,63.05,179.3167,-7.91,87,100,16.55,RU,overcast clouds,2022-02-04 14:39:33
44,Grindavik,63.8424,-22.4338,30.15,80,75,6.91,IS,broken clouds,2022-02-04 14:39:33
45,Marsaxlokk,35.8419,14.5431,62.08,77,20,12.66,MT,few clouds,2022-02-04 14:39:33
46,Flinders,-34.5833,150.8552,68.2,78,65,4.0,AU,light rain,2022-02-04 14:39:34
47,Little Current,45.9793,-81.9248,-2.15,81,27,7.34,CA,scattered clouds,2022-02-04 14:40:34
48,Bloomfield,40.8068,-74.1854,41.86,93,100,1.99,US,light rain,2022-02-04 14:38:34
49,Ponnani,10.767,75.9252,79.92,73,69,8.9,IN,broken clouds,2022-02-04 14:40:34
50,Quesnel,52.9999,-122.5029,34.3,80,100,10.36,CA,overcast clouds,2022-02-04 14:40:35
51,Cabo San Lucas,22.8909,-109.9124,61.52,73,0,5.79,MX,clear sky,2022-02-04 14:38:34
52,Puerto Ayora,-0.7393,-90.3518,76.96,91,16,8.01,EC,few clouds,2022-02-04 14:37:32
53,Mahebourg,-20.4081,57.7,80.89,89,75,14.97,MU,broken clouds,2022-02-04 14:40:35
54,Vestmannaeyjar,63.4427,-20.2734,31.19,74,20,20.71,IS,few clouds,2022-02-04 14:40:36
55,Longyearbyen,78.2186,15.6401,17.44,67,20,16.11,SJ,few clouds,2022-02-04 14:40:36
56,Estevan,49.1334,-102.9842,-21.66,76,0,4.29,CA,clear sky,2022-02-04 14:40:36
57,Sitka,57.0531,-135.33,44.49,81,100,16.11,US,moderate rain,2022-02-04 14:38:35
58,Sol-Iletsk,51.1631,54.9918,29.35,81,100,14.54,RU,overcast clouds,2022-02-04 14:40:37
59,Vila Franca Do Campo,37.7167,-25.4333,65.19,63,100,11.5,PT,overcast clouds,2022-02-04 14:35:55
60,Kangaatsiaq,68.3065,-53.4641,10.22,92,100,14.72,GL,light snow,2022-02-04 14:40:37
61,Constitucion,-35.3333,-72.4167,68.79,66,10,7.56,CL,clear sky,2022-02-04 14:39:09
62,Cape Town,-33.9258,18.4232,73.81,47,0,5.99,ZA,clear sky,2022-02-04 14:40:37
63,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,20,9.22,CA,few clouds,2022-02-04 14:37:33
64,Lorengau,-2.0226,147.2712,80.62,75,76,6.85,PG,broken clouds,2022-02-04 14:40:38
65,East London,-33.0153,27.9116,65.34,100,100,8.05,ZA,light rain,2022-02-04 14:40:38
66,Long,18.0761,99.8326,76.93,67,20,1.81,TH,few clouds,2022-02-04 14:40:38
67,Tabory,58.5198,64.5495,27.64,98,100,2.17,RU,light snow,2022-02-04 14:40:38
68,Narsaq,60.9167,-46.05,14.22,63,97,25.86,GL,overcast clouds,2022-02-04 14:40:39
69,Khairagarh,26.95,77.8167,54.39,71,4,7.14,IN,clear sky,2022-02-04 14:40:39
70,Goderich,43.7501,-81.7165,11.91,88,75,11.21,CA,broken clouds,2022-02-04 14:40:39
71,Ploemeur,47.7333,-3.4333,50.83,68,75,12.66,FR,broken clouds,2022-02-04 14:40:40
72,Ilulissat,69.2167,-51.1,12.22,57,75,10.36,GL,broken clouds,2022-02-04 14:40:40
73,Ixtapa,20.7,-105.2,61.83,88,0,3.44,MX,clear sky,2022-02-04 14:40:40
74,Borogontsy,62.6683,131.1683,-33.84,100,100,0.56,RU,overcast clouds,2022-02-04 14:40:41
75,Arraial Do Cabo,-22.9661,-42.0278,84.06,70,40,10.36,BR,scattered clouds,2022-02-04 14:40:41
76,Udachnyy,66.4167,112.4,-28.53,100,87,2.35,RU,overcast clouds,2022-02-04 14:40:41
77,Sept-Iles,50.2001,-66.3821,-2.94,62,75,5.01,CA,broken clouds,2022-02-04 14:40:42
78,Okato,-39.2,173.8833,70.92,91,98,17.6,NZ,overcast clouds,2022-02-04 14:40:42
79,Kiunga,-6.1219,141.2906,72.73,100,100,2.48,PG,moderate rain,2022-02-04 14:40:42
80,Muros,42.7762,-9.0603,60.98,76,99,8.52,ES,overcast clouds,2022-02-04 14:40:43
81,Carnarvon,-24.8667,113.6333,82.47,65,8,10.36,AU,clear sky,2022-02-04 14:36:52
82,Fortuna,40.5982,-124.1573,44.65,94,75,3.0,US,broken clouds,2022-02-04 14:35:54
83,Lompoc,34.6391,-120.4579,51.51,82,0,5.75,US,clear sky,2022-02-04 14:40:43
84,Itoman,26.1247,127.6694,60.82,79,75,12.66,JP,broken clouds,2022-02-04 14:40:43
85,Pandan,14.0453,124.1694,74.66,91,100,4.65,PH,light rain,2022-02-04 14:40:44
86,Upernavik,72.7868,-56.1549,5.88,96,100,3.58,GL,light snow,2022-02-04 14:40:44
87,Norman Wells,65.282,-126.8329,-32.76,68,20,10.36,CA,few clouds,2022-02-04 14:40:01
88,Faanui,-16.4833,-151.75,80.64,72,20,12.62,PF,light rain,2022-02-04 14:40:44
89,Fairbanks,64.8378,-147.7164,1.24,65,100,0.0,US,overcast clouds,2022-02-04 14:39:07
90,Nikolskoye,59.7035,30.7861,19.29,97,83,6.42,RU,broken clouds,2022-02-04 14:40:45
91,Avarua,-21.2078,-159.775,78.85,83,20,6.91,CK,few clouds,2022-02-04 14:36:50
92,Atuona,-9.8,-139.0333,78.22,73,14,17.2,PF,few clouds,2022-02-04 14:40:45
93,Brae,60.3964,-1.353,40.91,63,100,34.61,GB,overcast clouds,2022-02-04 14:40:45
94,Vitim,59.4511,112.5578,12.51,94,100,10.42,RU,light snow,2022-02-04 14:40:46
95,Sabae,35.9465,136.185,35.38,72,100,15.99,JP,overcast clouds,2022-02-04 14:40:46
96,Kavieng,-2.5744,150.7967,82.65,69,100,9.75,PG,overcast clouds,2022-02-04 14:38:20
97,New Norfolk,-42.7826,147.0587,59.92,71,79,1.48,AU,broken clouds,2022-02-04 14:41:46
98,Port Lincoln,-34.7333,135.8667,63.28,78,40,16.44,AU,scattered clouds,2022-02-04 14:41:47
99,Nemuro,43.3236,145.575,21.85,81,74,7.99,JP,broken clouds,2022-02-04 14:41:47
100,Isangel,-19.55,169.2667,78.58,88,100,12.39,VU,light rain,2022-02-04 14:41:47
101,Basco,20.4487,121.9702,73.89,75,98,26.87,PH,overcast clouds,2022-02-04 14:41:48
102,Georgetown,5.4112,100.3354,79.9,96,40,3.0,MY,scattered clouds,2022-02-04 14:41:48
103,Tilichiki,60.4667,166.1,0.5,82,100,8.03,RU,overcast clouds,2022-02-04 14:41:48
104,Raga,8.4596,25.678,92.35,11,97,8.9,SS,overcast clouds,2022-02-04 14:41:49
105,Bemidji,47.4736,-94.8803,-4.83,76,40,4.61,US,scattered clouds,2022-02-04 14:41:49
106,Codrington,-38.2667,141.9667,55.35,92,68,8.81,AU,broken clouds,2022-02-04 14:41:49
